       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 59923.355  19.525  19.482  19.421  6629.82     3631.0  orange 
 59923.355   19.69  19.641  19.552  7645.77     3631.0       i 
 59923.409  19.225  19.176   19.12  4735.89     3631.0  g-FLWO 
 59923.409   19.25  19.196  19.146  4746.48     3631.0   g-P48 
 59923.409    19.3  19.246  19.203  5182.42     3631.0    cyan 
 59923.409  19.439  19.389   19.34  6198.96     3631.0  r-FLWO 
 59923.409  19.467  19.418  19.368  6366.38     3631.0   r-P48 
 59923.409  19.522  19.479  19.418  6629.82     3631.0  orange 
 59923.409  19.687  19.638  19.549  7645.77     3631.0       i 
 59926.293   19.09  19.046  18.996  4735.89     3631.0  g-FLWO 
 59926.293  19.112  19.068  19.018  4746.48     3631.0   g-P48 
 59926.293  19.158  19.113  19.075  5182.42     3631.0    cyan 
 59926.293  19.288  19.245  19.206  6198.96     3631.0  r-FLWO 
 59926.293  19.316  19.275  19.233  6366.38     3631.0   r-P48 
 59926.293  19.375  19.333   19.28  6629.82     3631.0  orange 
 59926.293  19.535  19.492  19.412  7645.77     3631.0       i 
 59927.507   19.04  18.996  18.951  4735.89     3631.0  g-FLWO 
 59927.507  19.063  19.021  18.973  4746.48     3631.0   g-P48 
 59927.507  19.105  19.066  19.026  5182.42     3631.0    cyan 
 59927.507  19.236  19.194  19.155  6198.96     3631.0  r-FLWO 
 59927.507  19.266  19.221   19.18  6366.38     3631.0   r-P48 
 59927.507  19.321  19.278   19.23  6629.82     3631.0  orange 
 59927.507  19.479  19.437  19.363  7645.77     3631.0       i 
 59929.997  18.949  18.911  18.869  4735.89     3631.0  g-FLWO 
 59929.997  18.971  18.931  18.889  4746.48     3631.0   g-P48 
 59929.997  19.011  18.978  18.937  5182.42     3631.0    cyan 
 59929.997  19.139    19.1  19.066  6198.96     3631.0  r-FLWO 
 59929.997  19.166  19.124  19.089  6366.38     3631.0   r-P48 
 59929.997  19.222   19.18  19.137  6629.82     3631.0  orange 
 59929.997  19.378  19.334  19.266  7645.77     3631.0       i 
 59930.305   18.94  18.902  18.859  4735.89     3631.0  g-FLWO 
 59930.305  18.961  18.922  18.879  4746.48     3631.0   g-P48 
 59930.305    19.0  18.967  18.927  5182.42     3631.0    cyan 
 59930.305  19.128   19.09  19.055  6198.96     3631.0  r-FLWO 
 59930.305  19.154  19.114  19.079  6366.38     3631.0   r-P48 
 59930.305   19.21  19.169  19.126  6629.82     3631.0  orange 
 59930.305  19.366  19.322  19.254  7645.77     3631.0       i 
 59930.319  18.939  18.901  18.859  4735.89     3631.0  g-FLWO 
 59930.319  18.961  18.922  18.879  4746.48     3631.0   g-P48 
 59930.319    19.0  18.967  18.926  5182.42     3631.0    cyan 
 59930.319  19.127  19.089  19.055  6198.96     3631.0  r-FLWO 
 59930.319  19.153  19.114  19.078  6366.38     3631.0   r-P48 
 59930.319   19.21  19.169  19.125  6629.82     3631.0  orange 
 59930.319  19.365  19.322  19.254  7645.77     3631.0       i 
 59933.299  18.857  18.816  18.773  4735.89     3631.0  g-FLWO 
 59933.299  18.876  18.836  18.794  4746.48     3631.0   g-P48 
 59933.299   18.91  18.874   18.84  5182.42     3631.0    cyan 
 59933.299  19.028  18.993  18.957  6198.96     3631.0  r-FLWO 
 59933.299   19.05  19.015   18.98  6366.38     3631.0   r-P48 
 59933.299  19.104  19.069  19.029  6629.82     3631.0  orange 
 59933.299  19.259  19.215  19.151  7645.77     3631.0       i 
 59933.387  18.855  18.813   18.77  4735.89     3631.0  g-FLWO 
 59933.387  18.874  18.834  18.791  4746.48     3631.0   g-P48 
 59933.387  18.908  18.872  18.838  5182.42     3631.0    cyan 
 59933.387  19.025   18.99  18.955  6198.96     3631.0  r-FLWO 
 59933.387  19.047  19.012  18.978  6366.38     3631.0   r-P48 
 59933.387  19.101  19.066  19.026  6629.82     3631.0  orange 
 59933.387  19.256  19.212  19.149  7645.77     3631.0       i 
   59933.7  18.847  18.806  18.762  4735.89     3631.0  g-FLWO 
   59933.7  18.866  18.825  18.783  4746.48     3631.0   g-P48 
   59933.7  18.899  18.864  18.829  5182.42     3631.0    cyan 
   59933.7  19.015  18.981  18.946  6198.96     3631.0  r-FLWO 
   59933.7  19.037  19.003  18.968  6366.38     3631.0   r-P48 
   59933.7  19.091  19.057  19.018  6629.82     3631.0  orange 
   59933.7  19.247  19.201  19.139  7645.77     3631.0       i 
 59935.279   18.81  18.769  18.724  4735.89     3631.0  g-FLWO 
 59935.279  18.827  18.788  18.746  4746.48     3631.0   g-P48 
 59935.279   18.86  18.824  18.789  5182.42     3631.0    cyan 
 59935.279  18.971  18.936  18.905  6198.96     3631.0  r-FLWO 
 59935.279  18.992   18.96  18.925  6366.38     3631.0   r-P48 
 59935.279  19.042  19.012  18.972  6629.82     3631.0  orange 
 59935.279    19.2  19.154  19.095  7645.77     3631.0       i 
 59935.328  18.809  18.768  18.723  4735.89     3631.0  g-FLWO 
 59935.328  18.826  18.787  18.745  4746.48     3631.0   g-P48 
 59935.328  18.858  18.823  18.788  5182.42     3631.0    cyan 
 59935.328  18.969  18.935  18.904  6198.96     3631.0  r-FLWO 
 59935.328  18.991  18.958  18.923  6366.38     3631.0   r-P48 
 59935.328  19.041  19.011   18.97  6629.82     3631.0  orange 
 59935.328  19.199  19.152  19.094  7645.77     3631.0       i 
 59937.277  18.768  18.727  18.683  4735.89     3631.0  g-FLWO 
 59937.277  18.786  18.746  18.704  4746.48     3631.0   g-P48 
 59937.277  18.816  18.778  18.745  5182.42     3631.0    cyan 
 59937.277  18.919  18.887  18.857  6198.96     3631.0  r-FLWO 
 59937.277  18.941   18.91  18.877  6366.38     3631.0   r-P48 
 59937.277  18.991  18.961  18.919  6629.82     3631.0  orange 
 59937.277  19.146    19.1  19.043  7645.77     3631.0       i 
 59937.318  18.767  18.726  18.682  4735.89     3631.0  g-FLWO 
 59937.318  18.785  18.745  18.703  4746.48     3631.0   g-P48 
 59937.318  18.815  18.778  18.744  5182.42     3631.0    cyan 
 59937.318  18.918  18.886  18.856  6198.96     3631.0  r-FLWO 
 59937.318   18.94  18.909  18.876  6366.38     3631.0   r-P48 
 59937.318   18.99   18.96  18.918  6629.82     3631.0  orange 
 59937.318  19.145  19.099  19.042  7645.77     3631.0       i 
 59937.403  18.766  18.725  18.681  4735.89     3631.0  g-FLWO 
 59937.403  18.784  18.743  18.701  4746.48     3631.0   g-P48 
 59937.403  18.813  18.776  18.742  5182.42     3631.0    cyan 
