 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy  mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
   -8.49823  0.26093  1.99735       14.229  1.94277  0.69503  17.33067  0.04517     0.16004  6343.42922   3644.77392  0.48147         5322.74796     20.09092  0.06849   59900.9504   4.15997  4.52207   250699.48166  46.55721  18.65849  59959.35503    51.55469       44.82274   27.27216  39.27177   74.5    0.14112  -21.79092  0.92577 
   -9.46815    0.007  2.39952     13.92993  1.89968  1.36365  21.90533   0.0405     0.03976  5679.30531   7720.26122  1.43633         3946.16206     20.39979  0.13948  59899.98048   4.21471   0.1533  1402468.21679  45.64039  18.62887  59963.32658    51.41408       44.61032   31.82536  46.29143   64.0    0.12913  -21.85644  0.99592 
  -10.44411  0.00315  1.77989     13.68766  1.27947  1.42602  16.57863  0.03731     0.01056   4687.2787   5176.01791  1.07117         4449.26953     19.72056  0.02919  59899.00452   2.17279  0.05228  1586008.41249  45.67479  18.64781  59959.35503    51.55312       44.80493   26.57085  40.60357   68.0    0.13302  -21.67935  0.99862 
  -11.11823  0.07335  1.27924     14.12622   1.8145  0.86937  23.41236  0.04354     0.11748   5741.4709   4232.88445  0.41057         5638.80135     19.07607  0.00662  59898.33039   4.60382  1.71723   154183.43472  47.12566  18.66799  59959.62326    51.53622       44.78207   28.93214  43.39821   61.0    0.12889  -21.74335  0.98654 
   -11.6827  0.23029   1.8098      14.0916  1.78473  0.93635  22.58309  0.04243     0.24631  6668.44762   8927.04546  0.39042         5054.82427      19.8232  0.03698  59897.76592   5.99046  5.20071   356006.67783   46.4537  18.69526  59963.45817    51.46574       44.65877   29.71692  47.95141   62.0    0.13167  -21.75358  0.92093 
   -7.15302  0.03071  0.99948     14.23495  1.45406  0.41075  45.57861   0.0124     0.11957  3627.78242   7682.54522  0.93432         5561.71707     20.24822  0.09839   59902.2956   3.57825  1.39975    45714.07104  47.77183  18.61116  59956.26172    51.38697       44.60764   31.82536  43.39821   62.5    0.12732  -21.84247  0.99063 
  -11.94031  0.00138   2.0247     13.76106  1.42604  1.13679   6.11546  0.16026     0.15411  6890.69104   4596.71746  0.55105         4402.76637     17.15763    8e-05  59897.50831   1.73214  0.00844  1631316.63588  45.59772  18.63983  59959.35503    51.44199       44.70065   29.60202    40.505   67.0    0.12799  -21.74955  0.99975 
  -11.72968  0.00608  1.56917     13.97317  1.77223  0.92122  22.29135  0.03783     0.40745  6512.96579   6612.46855  0.40657          3919.9342      20.4608  0.16052  59897.71894   5.64054  0.13543   458497.44565  46.46469  18.59111  59959.35503    51.49551       44.73422   28.93214  43.39821   65.5    0.13863  -21.83296   0.9983 
  -10.61432  0.24087  3.38869     14.00774   1.9859  1.18333   9.85989  0.06877     0.02608  4778.33162   7173.09243   2.2895          3891.2152     18.29732   0.0011  59898.83431   1.34293  2.37498  2043414.70084  45.19638   18.5989  59959.62326    51.55929       44.83854   28.05754  36.67912   76.5    0.12764   -21.6879  0.89338 
   -6.14714  0.22147  1.20826     14.29647  1.62781   0.5599  14.93459  0.05927     0.12501  4916.13192   9886.48391  0.92551         4483.33642     18.64617  0.00246  59903.30148   2.15312  3.30762    56338.72594  47.56532  18.65472  59963.32658    51.45367       44.67865   29.60202  46.29143   55.0     0.1204  -21.65205  0.97348 
