 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy  mnickel             TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time     E_fold  tau_1  delta_m15     r_peak     frac 
   -26.3482  0.05198  1.95111     13.69635  1.62692  1.30426  47.52584   0.0445     0.01129  3826.40992   7388.00122  1.50937          4030.5463     16.66136    3e-05  60195.52761   4.15088  2.47052   2328321.21722  45.53261  18.84171  60306.99191     51.4379       44.35725   83.46653   88.37633  103.0    0.04325  -21.69828  0.94747 
   -29.3956  0.01196  1.23312     13.86255  1.79757  1.50168  80.08862  0.06306     0.01992  5540.67784   8116.45324  0.48619         5295.40295     16.85853    4e-05  60192.48021  14.66641  0.95794    477994.19677   46.6621  18.82365  60309.04971    51.55881       44.49664   46.64306  100.65082   85.5    0.03928  -21.77881   0.9928 
  -26.39492  0.02161  0.95753     13.90949  1.80826  1.45151  83.28117  0.06297      0.2016  5114.22118   8431.06731   0.7448         5728.83089     17.87178  0.00041  60195.48089  12.99371  1.79977    233561.36577   47.1954  18.93871  60306.99191    51.57243       44.50831   49.93039   94.90859   91.0    0.03628  -21.85732  0.99204 
  -28.21053  0.06249  2.04588     13.66933  1.44933  1.01794  32.99794  0.06063     0.14889  3936.80559   7787.21108  1.90958         4099.24407     17.41689  0.00015  60193.66529   3.05072  2.06196   2582708.62877  45.39618  18.91185  60298.40281    51.47519       44.38716   76.10184   95.74102  101.0     0.0485  -21.70336  0.94258 
  -48.82142  0.30363  1.91548     13.28215  1.53195  1.31434  14.14633  0.28328     0.01376  6425.85626   6705.68136  1.77608         2392.48497     17.93077  0.00047  60173.05439   3.48444  4.29523  14233827.89242  44.73621  18.97207  60300.56989    51.35973       44.24821   73.24062  103.10572   88.5    0.04984  -21.90172   0.8999 
  -35.23514  0.00256  1.83673     13.68795  1.44104  0.72741  28.38291  0.07193     0.01897  4343.60966   7560.64063  0.66044         5606.66783     16.57122    2e-05  60186.64067   3.19437  0.07272   1899662.60643  45.62075  18.95284  60300.56989    51.45448       44.32508   71.19204   98.19592  100.5    0.04761  -21.78707  0.99825 
  -34.04957  0.01242  1.44326     13.87793  1.72195  0.79319  30.58726  0.07886     0.42209  3762.99862    8241.6587  0.58329         5831.22862     17.12453    7e-05  60187.82624   2.58366  0.38002    584327.71597  46.41952  18.92256  60298.40281    51.42351       44.32581   76.10184   98.19592   93.0    0.04137  -21.73367  0.99578 
  -14.30243  0.02288  0.83305     14.28494    1.774  0.35984  32.11192  0.33505     0.05229  9389.80437   7491.56388  3.79544         2807.54267     20.80379   0.3536  60207.57338   16.8891  0.73488     30778.04593  48.18821  18.93821   60303.7809    51.53277       44.42322   68.66499   99.75427   90.0     0.0378  -22.19906  0.99745 
  -30.35359  0.01013  1.97578     13.80944  1.73251  0.78051  15.38821  0.28845     0.01113  4679.53082   7584.81762  2.96326         3614.53465     16.98558    5e-05  60191.52222   2.01011  0.15585   1510412.30151  45.73695  18.91983  60306.99191    51.53655       44.44766   63.82735   95.74102   92.0    0.03239  -21.78342  0.99673 
  -28.03639  0.01799  0.97889     13.77748  1.58502  1.07458  44.50947  0.12567     0.02503  6114.32994   7655.97611  0.42206         4288.74134     20.29118  0.10862  60193.83942   9.92607  0.80082    392973.72819  46.89305  18.89506  60300.56989    51.48757       44.40564   59.66472   92.53896   88.0    0.03947   -21.9581  0.99541 
  -35.21795   0.0014  1.91461     13.86726  1.85597  0.81826  21.38503  0.20024     0.24289  6235.83968   7324.00624  0.28945         4969.65227     19.62435  0.02339  60186.65786   4.96052  0.02992   1164192.31772  45.90723  18.85864  60309.04971    51.59245       44.52845   52.36704   93.28613   89.0    0.04669  -21.84432  0.99947 
  -25.98145  0.04476  1.66473     14.23602  2.11131  0.49697  74.67704  0.03903     0.17439  4377.77646   7700.59607  0.84847         4402.74924     19.92974  0.04726  60195.89436   8.53732  3.34254    183232.55483  46.88771  18.83477  60309.04971    51.62057        44.5704   54.00776   88.37633   95.0    0.04136  -21.78547  0.96483 
  -25.85683  0.10699   1.7807     13.99652  2.11763  1.22456  36.73018  0.08383     0.08304  3912.50015   7615.12892  1.50284         4163.03469     16.25803    1e-05  60196.01898   3.35397  3.92966    633578.31162  46.29171  18.89679  60300.56989    51.43187       44.32448   51.69089  110.47041  102.5    0.03511  -21.67072   0.9535 
  -37.75948  0.00164  1.49741     13.66656   1.5843  1.22084  19.78915  0.31313     0.02834  6464.01191   7106.30617  0.25987         4897.49943     16.95595    5e-05  60184.11634    4.9324  0.03255   1531848.48683  45.93279  18.84638  60309.04971    51.51908       44.42297    52.4494  104.66407   88.0    0.03965  -21.82429  0.99956 
  -31.01047  0.00386  0.97366     13.75568  1.63538  1.56388  15.56934  0.31534     0.04289    4949.215   7079.13786  0.42178         5275.38815     18.70753  0.00283  60190.86534   2.27494  0.06007    443505.09219  46.85875  18.94165  60306.99191    51.50622       44.38959   73.28287  105.32064   92.0    0.03043  -21.81149  0.99967 
  -37.65615  0.01999  1.66956     13.80097  1.87654  1.22807  35.94669   0.1239     0.02162  5773.73976   7231.05254  0.17821         5954.73435      18.7218  0.00293  60184.21966   7.14826   0.7184   1214595.15874  46.01257  18.93962  60302.36875    51.52851       44.44338   63.82735   90.83123   89.5     0.0418  -21.77585  0.99063 
  -31.01676  0.00516  1.72399     13.89501  1.90441   0.8543  27.23491   0.1363     0.12405  5466.76175   6956.27787  0.39904         3903.85299     16.02896    1e-05  60190.85905   4.85527  0.14061    852360.45184  46.14491  18.91821  60306.99191    51.69038       44.61047   58.91755   90.83123   92.0    0.04383   -21.7991  0.99807 
  -39.81175  0.00535  2.01186     13.69492   1.6721  0.65164  16.91302   0.1335     0.01313  5116.52222   8116.96812  0.42723         5017.12206     20.31905  0.11582  60182.06407   2.64118  0.09051   2561119.44126  45.47648  18.91504   60303.7809    51.44474        44.3431   53.41722  106.28918   87.0    0.04595  -21.88961  0.99786 
  -25.70067  0.06003  1.33336     13.64873  1.42703  1.42205  27.03994  0.09967     0.09785  4263.77025   8205.80766  0.73975         4886.78161     18.18764  0.00086  60196.17514   2.93238  1.62317   1187626.09345   46.0987  18.96965  60298.40281    51.51329       44.41294   64.72389   89.93468   89.5    0.04454  -21.75659  0.97993 
  -34.20396  0.00609  1.16769     13.80195  1.89156  0.81878  40.96362  0.08646      0.1327  5184.32271   7519.95597  0.40332         5465.50247     20.86813  0.41007  60187.67185   6.56764  0.24964    596206.79138  46.63561  18.93505  60300.56989    51.41538       44.30489    66.1159   96.76723   96.0    0.03723  -22.24867  0.99842 
  -35.37992  0.06159  1.74078      13.9766  1.72062   0.4757  18.65677  0.15377     0.01294  4382.54724   9053.37846  0.76366         5345.07737     20.33958  0.12142  60186.49589   2.13755  1.14914    539250.45178  46.29125  18.87002  60306.99191    51.46992        44.3935   64.27875   97.74452   86.5    0.04043  -21.92978  0.98145 
  -30.50917  0.01961  1.26498     13.99006  1.91827  0.91246  36.47761  0.10835     0.05774  4277.28032   7763.05132  0.84049         4421.17014     17.44149  0.00015  60191.36664   3.98097  0.71548    298372.41798  46.87283  18.92688  60300.56989    51.36988       44.25879   66.42548  105.41738   94.5      0.037  -21.67607  0.99486 
  -28.66481   0.0033  1.49269     13.84155  1.79335  0.96866  24.63883  0.11763     0.04359  4075.33291   8879.02085  0.83533         5946.21435     20.00288  0.05592    60193.211   2.44103  0.08123    769706.16188  46.28825  18.92551   60303.7809    51.45421       44.33172   95.74102   98.19592   89.5     0.0436  -21.93333  0.99909 
   -29.7457  0.02656  1.57195     13.80346   1.8654  1.49517  20.09677  0.19559     0.41923  5356.71736   7373.99913  0.42702         5633.66198     16.31413    1e-05  60192.13011   3.43994  0.53378    1058150.2181  46.12219  18.89537  60313.41392    51.44809       44.33961   89.86253   95.74102   89.0    0.04511  -21.85642  0.99378 
  -31.34086  0.01246  1.15144     13.96655  1.60902  0.58753  34.84806  0.21619     0.03115   7697.0155   7280.80554  0.12689         5338.23655     20.27902  0.10562  60190.53495  12.31546  0.43428    231073.17609  46.98918   18.8853  60306.99191    51.51414       44.42265   55.93068   98.79966   86.0    0.04204  -22.00702  0.99661 
