          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 60234.232719  19.5366  19.5897  0.1482        P48         ZTF       r  False      AB   False                  ZTF 
 60235.520714  19.6424   19.692  0.1451      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60236.146979  19.5561  19.6092  0.1751        P48         ZTF       r  False      AB   False                  ZTF 
 60236.875251  19.6248  19.6745   0.171      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60238.092282  18.1252  18.1748    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60238.147349  19.6184  19.6715  0.1646        P48         ZTF       r  False      AB   False                  ZTF 
 60238.189583  19.5953  19.6718  0.1826        P48         ZTF       g  False      AB   False                  ZTF 
 60239.796394   19.009  19.0587    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60244.130181  19.1067  19.1563  0.3025      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60244.149942  19.4274  19.5039  0.3068        P48         ZTF       g  False      AB   False                  ZTF 
 60244.169722  19.1173  19.1704  0.1953        P48         ZTF       r  False      AB   False                  ZTF 
 60244.169722  19.1173  19.1703  0.1953        P48         ZTF       r  False      AB   False                  ZTF 
 60247.103429  19.7805  19.8301  0.2921      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60248.656627  19.5157  19.5653  0.2021      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60250.188587  19.4013  19.4778  0.2296        P48         ZTF       g  False      AB   False                  ZTF 
 60250.230451  19.3967  19.4498   0.298        P48         ZTF       r  False      AB   False                  ZTF 
 60251.233437  19.3177  19.3942  0.2629        P48         ZTF       g  False      AB   False                  ZTF 
 60251.873918  19.2376  19.2872  0.2823      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60253.125932   19.358  19.4076   0.145      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60253.148078  19.3955  19.4486  0.1305        P48         ZTF       r  False      AB   False                  ZTF 
 60253.189455  19.2633  19.3398  0.1311        P48         ZTF       g  False      AB   False                  ZTF 
   60254.2039  19.2671  19.3436  0.1614        P48         ZTF       g  False      AB   False                  ZTF 
 60256.103407  19.0947  19.1443  0.1139      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60257.210937   18.773  18.8495    -1.0        P48         ZTF       g   True      AB   False                  ZTF 
 60257.868468  19.0985  19.1663   0.081      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 60259.127013  19.3364  19.3895  0.1414        P48         ZTF       r  False      AB   False                  ZTF 
 60259.127779  19.1481  19.1977  0.1354      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60259.148298  19.1392  19.2157  0.1318        P48         ZTF       g  False      AB   False                  ZTF 
 60259.801802  19.3434  19.4112  0.1075      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 60260.959773  19.0992   19.167  0.1227      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
  60261.15118   19.304  19.3571  0.1518        P48         ZTF       r  False      AB   False                  ZTF 
  60261.16905  19.1878  19.2643  0.1723        P48         ZTF       g  False      AB   False                  ZTF 
  60262.11556  19.1464   19.196  0.1387      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60263.126631  19.0555  19.1086  0.1147        P48         ZTF       r  False      AB   False                  ZTF 
 60263.169039   18.054  18.1305    -1.0        P48         ZTF       g   True      AB   False                  ZTF 
 60265.115545  19.3326  19.3822  0.1509      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60269.905875  18.3571  18.4068    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60272.843514  19.2228  19.2724  0.2303      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60274.092154  19.1317  19.1813  0.2056      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60275.859136  19.1199  19.1695  0.2263      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60277.139891  19.2804    19.33  0.2235      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60278.797519  18.9481  18.9977  0.0994      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60281.894289  19.0967  19.1463  0.1389      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60284.147013  18.9064  18.9594  0.1017        P48         ZTF       r  False      AB   False                  ZTF 
 60284.828746  18.9574  19.0071  0.1108      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60290.808699  19.1595  19.2092  0.1418      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60291.122661  18.9079   18.961  0.1025        P48         ZTF       r  False      AB   False                  ZTF 
 60291.124224  18.9037  18.9802  0.1258        P48         ZTF       g  False      AB   False                  ZTF 
 60298.402814  18.8812  18.9308  0.1058      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60302.368752  18.9592  19.0088  0.1433      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60309.049711  19.0449  19.0945   0.222      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60310.063611  18.7373   18.787  0.1076      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60411.400283  19.7876  19.8372  0.2126      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60420.140543  19.3225  19.3721    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60442.389905   19.479  19.5286    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60443.154513   19.939  20.0068    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60448.115421  19.5961  19.6639    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60462.381252  20.4604  20.5157  0.0596   Magellan       IMACS       r  False      AB   False             ThisWork 
 60462.388394  21.1753  21.2526  0.0559   Magellan       IMACS       g  False      AB   False             ThisWork 
 60462.395407  20.2812  20.3226  0.0942   Magellan       IMACS       i  False      AB   False             ThisWork 
 60665.048381  19.8067  19.8563    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60666.048074  20.0397  20.0894    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60666.816333  19.8393  19.9071    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60667.796031  19.9844  20.0522    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60669.052009  19.3174   19.367    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60674.048577  19.6187  19.6683    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60675.798327  19.5624  19.6302    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
