       Name        RA_deg        DEC_deg  Redshift         Method     EBV  Explosion      Peak  Quality  Survey 
   2020abjx  33.759583000  -8.6288060000      0.39        Unknown  0.0215   59080.75  59213.12   Silver     ZTF 
   2020adkm  51.253352392  +11.939503225     0.226     Host_lines  0.4731   59154.83  59245.28     Gold     ZTF 
   2020aewh  111.61737500  +12.451444000     0.345        Unknown  0.0588   59167.64  59250.33   Bronze     ZTF 
   2020afag  3.9427083300  +47.002361110    0.3815     Host_lines  0.0898   58999.05  59055.44     Gold     ZTF 
   2020afah  155.07633333  +53.322611110    0.3754     Host_lines  0.0086   58947.57  59030.74     Gold     ZTF 
    2020ank  124.06104305  +4.3241365800    0.2485     Host_lines  0.0193   58862.25  58896.25     Gold     ZTF 
    2020aup  197.43516667  +12.487055560      0.31    SN_features  0.0208   58857.36   58884.5     Gold     ZTF 
    2020auv  248.55221730  +37.097716475      0.28     Host_lines   0.011   58846.98  58876.53     Gold     ZTF 
    2020dlb  122.14225000  +34.736916670     0.398     Host_lines  0.0327    58884.0  58948.07     Gold     ZTF 
    2020exj  220.66671863  +30.244220859    0.1216     Host_lines  0.0096   58925.03  58948.46     Gold     ZTF 
    2020fvm  213.19137500  +34.737833330    0.2428     Host_lines  0.0129   58839.16  58968.37     Gold     ZTF 
    2020fyq  221.54350000  +23.800555560    0.1765     Host_lines  0.0325   58860.85  58943.47   Silver     ZTF 
    2020htd  266.07200000  +38.925111110    0.3515     Host_lines   0.026   58892.47  58983.36     Gold     ZTF 
    2020iyj  138.90266667  +53.458888890     0.369     Host_lines  0.0155   58933.55  58994.24     Gold     ZTF 
    2020jii  233.73037747  +2.8532401690     0.396    SN_features  0.0427   58944.55  58994.44     Gold     ZTF 
    2020kox  166.52070833  +26.291305560     0.456     Host_lines  0.0166   58938.07  59007.27     Gold     ZTF 
    2020myh  354.37728605  +21.711892700     0.283     Host_lines  0.0335   58976.53  59012.56   Silver     ZTF 
    2020onb  215.75250000  +49.177969000     0.153    SN_features  0.0208   59025.39  59079.18   Silver     ZTF 
    2020qef  344.04387480  +28.764786051    0.1831     Host_lines  0.0459   59017.86  59076.36     Gold     ZTF 
    2020qlb  286.95656700  +62.963764000    0.1585     Host_lines  0.0507   59050.83   59137.2     Gold     ZTF 
    2020rmv  10.000779248  -14.590316187    0.2621     Host_lines  0.0185   59045.02  59118.32     Gold     ZTF 
    2020tcw  232.07116700  +39.947369000     0.064     Host_lines  0.0192    59093.5  59132.99     Gold     ZTF 
    2020uew  49.849458000  -29.984911000   0.22367     Host_lines  0.0121   59107.81  59139.47     Gold   ATLAS 
    2020vpg  24.517471092  +34.724418986     0.257     Host_lines  0.0339   59101.31  59157.24     Gold     ZTF 
    2020wfh  104.01892946  +36.423814004      0.33        Unknown  0.0776   59118.23  59143.46   Bronze     ZTF 
    2020wnt  56.658113400  +43.229237250     0.032     Host_lines  0.4082   59133.42   59207.3     Gold     ZTF 
    2020xga  56.664022648  -11.242749707      0.44    SN_features  0.0481   59111.82  59165.31     Gold     ZTF 
    2020xgd  4.9409581010  +5.1385005290     0.454       Mg_Lines  0.0145   59100.92  59145.14     Gold     ZTF 
    2020xkv  339.44166667  +23.527055560     0.241     Host_lines  0.0303   59054.07  59150.78     Gold     ZTF 
    2020zbf  29.506964000  -41.347732000      0.35    SN_features  0.0148   59131.94  59166.78     Gold   ATLAS 
    2020znr  109.77675000  +23.885381000       0.1    SN_features  0.0516   59154.48  59235.43     Gold     ZTF 
    2020zzb  2.5377100000  +9.4932340000    0.1659     Host_lines  0.1157   59097.59  59182.32     Gold     ZTF 
    2021bnw  163.46737500  +12.558050000     0.098    SN_features  0.0171   59224.42  59270.38     Gold     ZTF 
    2021een  306.68508300  +16.551711000      0.16    SN_features  0.1077   59249.05  59282.53     Gold     ZTF 
    2021ejo  157.91245800  +31.001250000      0.44    SN_features  0.0154   59217.72  59293.71     Gold     ZTF 
     2021ek  50.957973873  -10.044773188     0.193     Host_lines  0.0531   59206.24  59234.63     Gold     ZTF 
    2021fpl  303.57758300  -18.182381000     0.121    SN_features  0.0812   59264.69   59336.1     Gold     ZTF 
    2021gtr  264.61677333  +48.496553333     0.303     Host_lines  0.0193    59112.2  59242.82     Gold     ZTF 
    2021hpc  203.25443766  +43.176086746      0.24    SN_features  0.0078   59274.87  59325.28     Gold     ZTF 
    2021hpx  142.77608300  -19.517989000     0.213     Host_lines   0.046   59273.93  59331.35     Gold     ZTF 
    2021kty  214.70319028  +15.014119657     0.159     Host_lines  0.0195    59303.3  59347.48     Gold     ZTF 
    2021lwz  146.19744933  +34.712286171     0.065     Host_lines  0.0108   59341.68  59352.26   Silver     ZTF 
    2021mkr  224.21904200  +60.834750000      0.28     Host_lines  0.0084   59332.11  59402.24     Gold     ZTF 
    2021nxq  216.33616151  +37.762417200      0.15    SN_features  0.0122   59337.76  59424.26     Gold     ZTF 
    2021rwz  347.45898658  +10.028441473      0.19    SN_features  0.0402   59360.12  59400.54   Silver     ZTF 
    2021txk  321.95528680  -8.0828631000      0.46    SN_features  0.0468   59371.75  59416.12     Gold     ZTF 
    2021uvy  7.3786418770  +12.105848877     0.095    SN_features  0.0575   59392.44  59452.78   Bronze     ZTF 
    2021vuw  100.19775000  +27.783839000       0.2    SN_features  0.1058   59416.16  59471.47     Gold     ZTF 
    2021xfu  265.67168487  +52.186250143      0.32    SN_features  0.0314   59411.94  59493.95     Gold     ZTF 
    2021ybf  20.306628800  +28.263905700      0.13    SN_features  0.0627   59420.82  59477.28   Bronze     ZTF 
    2021ynn  42.647656959  -19.863115218      0.22    SN_features  0.0286   59455.72  59487.43     Gold     ZTF 
    2021yrp  5.8232000000  +50.145408900       0.3    SN_features  0.1164   59444.12  59489.66     Gold     ZTF 
    2021zcl  77.310217639  -6.0538496280     0.117     Host_lines  0.0899   59459.64  59513.48     Gold     ZTF 
   2022aawb  26.218250000  +23.012181000      0.13        Unknown  0.1091   59889.85  59942.21   Silver     ZTF 
   2022abdu  46.520439091  -46.721389090      0.13        Unknown  0.0119   59893.54  59913.89     Gold   ATLAS 
    2022ful  290.04445800  +50.395100000      0.15    SN_features  0.0682    59653.5  59699.58     Gold     ZTF 
    2022gyv  194.49837769  +41.078350855      0.39    SN_features  0.0129   59607.25  59689.44   Silver     ZTF 
     2022le  162.61609955  -6.2967080070    0.2491     Host_lines  0.0211   59443.54   59722.2     Gold     ZTF 
    2022ljr  235.75866687  +18.076662064       0.2    SN_features  0.0313   59719.77  59747.31     Gold     ZTF 
    2022lxd  264.16117930  +61.555183699      0.54    SN_features  0.0321   59706.25  59765.41     Gold     ZTF 
    2022npq  245.26555060  +14.848540869      0.26        Unknown   0.039   59738.02  59816.19     Gold     ZTF 
    2022ojm  354.44179517  +40.085553777      0.47    SN_features   0.092   59732.95   59801.5   Bronze     ZTF 
    2022pjq  327.24233456  -26.376892783      0.17    SN_features  0.0344   59764.85  59787.58     Gold     ZTF 
