 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel             TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
  -16.06796  0.10561  1.75267     13.15257  1.87669  1.14177    7.8516  0.26184     0.01399  7424.86875   4880.90974  0.72705         2754.64791     17.38943  0.00014  59953.23612  2.58204  0.82917  26513127.89596  44.63137  18.04013  60055.18355    51.49359       44.47557   69.25685  79.15068   86.0     0.0722  -22.03677  0.98514 
  -12.95688  0.00826  1.72767     13.15256   1.6152  1.33405   7.11505  0.30883      0.0144  7271.07096   8534.74063  2.21733         2649.73302      18.2834  0.00107  59956.34719  2.24389   0.0588  22173589.98785  44.65632  18.05725  60054.52212    51.55353       44.56631   65.26106  73.25263   71.0    0.07715   -22.0281  0.99879 
  -15.26465  0.43398  2.10995     13.44645  1.68203  1.00437  11.32968  0.15921     0.01833  7458.47606   4651.75721  0.02522         3656.63195     17.72326  0.00029  59954.03942  3.75963  4.91683   8897909.83762  44.89685  18.04032  60054.52212      51.505       44.49606   66.78339  76.67722   81.0    0.07228  -22.04959  0.88311 
  -14.98456  0.09463   1.8715     13.34719  2.09943  0.66716   7.16718  0.28593     0.01308  7171.97474   4873.72422  1.59631          3213.3372     18.40688  0.00142  59954.31952  2.19914  0.67822  13801311.66215  44.90664  18.05543  60054.52212    51.51236        44.4962   66.78339  76.67722   85.5    0.07262  -22.03736  0.98779 
  -13.75776  0.00464  1.59257     13.08517  2.09802  1.11734   7.15764  0.23232     0.01139  7734.52568   4701.93166  0.05396          4547.0303     17.89268  0.00043  59955.54631  2.55425  0.03319  33380344.82732  44.66297  18.05549  60056.29316    51.50661       44.50703   68.03847    75.023   86.0     0.0739  -22.05597  0.99955 
  -15.76331  0.02482  2.21479     13.42512   2.0177  1.12352  10.56409  0.22519     0.01164  6714.66518    5149.4546  2.10945         2911.21826     16.59995    2e-05  59953.54076  2.84124  0.26224  12974723.98751  44.76994  18.05094  60055.18355    51.54225       44.55151   63.58428  74.92941   83.0    0.06889  -22.02223   0.9939 
  -14.94461  0.00201  1.47749     12.94598   1.5454  1.52519   6.75338  0.27282     0.01616  7646.82093   4963.24392  4.74767         2013.92627     18.02666  0.00059  59954.35947  2.35565   0.0136  40174205.06853  44.51489  18.02668  60055.31023    51.48387       44.47592   71.61163   76.7959   87.0    0.07048  -22.02855  0.99976 
   -16.0444  0.00604  1.60769     13.24747  1.70707  0.80665   8.74611  0.29334     0.01022  7273.30456   9585.05284  0.76305         2683.06191     17.75039  0.00031  59953.25968  2.75998  0.05286  13107696.08654  44.97117  18.08614  60051.47235    51.45884       44.44007   69.25685  79.15068   64.0    0.07183  -22.03435  0.99912 
  -16.10519  0.00269  1.51671     13.15485  1.79213  0.84233   8.82761  0.27976     0.01045  7986.12643   9807.84892  0.80136         2366.94632      19.6606  0.02543  59953.19888  3.35848  0.02371  18762757.96535  44.88711  18.06307   60057.5719    51.56663       44.57863   66.78339   71.7303   60.5    0.07446  -22.08095  0.99965 
  -13.59751   0.0019  1.49046     12.95993   2.1355  1.30575   7.26421  0.21404     0.01093  7641.69461    5271.1167  1.40183         2496.60579     19.82917  0.03749  59955.70656  2.53043  0.01381  52977597.63784  44.52761  18.05158  60055.31023    51.51179       44.52822   66.83316  71.68053   91.0    0.07189  -22.05076  0.99982 
  -14.02986  0.17417  1.69043     13.07056  1.80178    1.039   9.40944  0.17941     0.01077  7055.93079   4972.38434  2.17462         2997.60307     19.09051  0.00684  59955.27422  2.79447  1.63889  34546400.93815  44.53015  18.06048  60056.29316    51.50128       44.50754   69.32694  71.66021   91.5    0.07121  -22.00572  0.96889 
  -16.35367  0.01508  1.57467     13.01291  1.59486  1.51253   6.08509  0.33605     0.01656  7189.47157   4905.60597  1.22033         3035.66143     16.44974    2e-05   59952.9504  1.87624  0.09179  34601654.08238  44.53809  18.05972  60056.29316    51.50283       44.48631   69.96308  78.44445   85.0    0.06995  -22.02588  0.99828 
  -13.58679  0.01256  1.48845     13.06146  1.51743  1.01756   8.67726  0.27928     0.01131    7555.192   5029.19255  2.32809         2583.66326     17.92517  0.00047  59955.71729  2.95462  0.10896  23521706.38696  44.73302  18.03922  60056.29316    51.50186       44.49583   69.25685  76.67722   81.5    0.07283  -22.04982  0.99807 
  -15.06504  0.01332  1.34981      12.9105  1.56364  1.36455   6.85497  0.29344     0.01208  7470.63843   5211.06992  2.05631         2012.98588     19.01404  0.00574  59954.23903  2.28217   0.0913  39947813.58905  44.60094  18.05579   60053.2066    51.55902       44.57323   63.58428  72.45595   85.5    0.07119  -22.02669  0.99866 
  -16.72976  0.00582   1.6834     13.14949  2.05679  1.07606   6.68767  0.31192     0.01305  7501.03766   4209.40447  0.14564         4190.84089     16.96341    5e-05  59952.57432  2.24463  0.03891  27190004.03961  44.69525  18.06581  60051.47235    51.42535       44.39478    71.7303  81.62414   83.5    0.07346  -22.04224  0.99941 
   -14.9213  0.02724  1.70469     13.08973  1.84553  1.40653   7.50316  0.31974     0.01195  7189.50497   5515.64999  3.34844         2838.55929     19.52884  0.01877  59954.38278   2.3135  0.20442  32943205.32725  44.55391  18.04481   60057.5719    51.49765       44.49908   70.88784  72.57277   86.0    0.07093  -22.04731  0.99637 
  -14.77527  0.00978  1.64602     13.12909  1.67484  1.03141   9.70429  0.22126     0.01281  8038.63025   5592.30314  1.46176         2197.86821     17.11214    7e-05   59954.5288  3.74072  0.09489  23253568.43024  44.69346  18.05739  60054.52212    51.48905       44.47315   69.25685  79.15068   83.5    0.07323   -22.0566  0.99822 
   -15.1448  0.05167  1.42031     13.09342  1.66743  0.78342   6.84129  0.31805     0.01352  7701.37527   5025.75923    0.641         2737.31254     16.55846    2e-05  59954.15927  2.42048  0.35346  20313374.41917  44.87835  18.08254   60053.2066    51.54254       44.54486   61.83647  74.20376   85.0    0.07174  -22.06879  0.99477 
  -13.21075  0.40533  1.87146     13.21722  1.86795  0.92331   7.19592  0.33434     0.01038  6418.82202   5181.07468   4.7388         3255.71962     17.90281  0.00044  59956.09332  1.76858  2.91669  22340979.48202  44.64675  18.04683   60057.5719    51.53658       44.55931   66.75024  69.28999   86.5     0.0714   -22.0142  0.94151 
  -15.59372  0.00379   1.5406     13.10268  1.79162  1.16868   8.06309  0.31246      0.0103  7494.76353   4372.72094  0.68456         2274.98688     17.41877  0.00015  59953.71035  2.70174  0.03053  24608063.20833  44.75563  18.02016   60057.5719    51.57964       44.58253   66.83316  74.15399   81.5    0.07112  -22.05098  0.99955 
  -14.80605  0.01555  1.43919     13.05215   1.7652  0.77036   8.15117  0.28625     0.01158   7693.7317   4506.27487  3.18696          2846.1938     19.33693  0.01207  59954.49802   2.8782  0.12673  26701611.45098  44.77286  18.03083   60057.5719    51.52087       44.48938   69.25685  81.62414   88.0     0.0741  -22.05531  0.99806 
  -15.94034  0.00473  1.74193     13.24051    1.657   0.8197   8.81202  0.24415     0.01211  6959.23919   5201.78125  2.04101         2933.33054     17.06398    6e-05  59953.36373  2.54581  0.04165  15423452.68909  44.81792  18.05181  60056.29316     51.5202       44.51983   69.25685  74.20376   84.5    0.07069  -22.01175  0.99913 
  -16.94207  0.23313  1.51312     13.35472  1.51666  0.50757   9.96198  0.30061     0.01041  7598.13803   4916.87543  0.41963         3517.64008     17.10647    7e-05    59952.362  3.43074  2.32241   6295267.82669  45.29097  18.05099  60054.52212    51.48958       44.51697   66.38425  69.25685   79.5    0.07045  -22.07142  0.96059 
  -14.46729  0.00148  1.54586     13.11308  1.69362  0.94135   7.29137  0.32837     0.01107  7071.98021   4740.57624  1.87599         2916.49073     17.59037  0.00022  59954.83679   2.1753  0.01083  22326223.41702  44.77051  18.03607  60052.24728    51.44239       44.41067   72.45354  80.90091   86.0    0.06873  -22.02951  0.99982 
  -15.63935  0.00477  2.06931     13.43454  1.88348  0.76018   9.41378  0.26916     0.01213  6626.10404   4994.14956  4.31223         2993.17417     18.00627  0.00056  59953.66472  2.46551   0.0449  10123911.15382  44.90681  18.06891  60055.31023    51.51752       44.51354   70.91107    75.023   84.0     0.0703  -22.03574  0.99895 
  -15.33006  0.05274  1.93782     13.36844  1.99183   0.7533   8.29854  0.25455     0.01317  7367.41624   4756.85876   1.8947         2688.14156     18.16947  0.00082  59953.97401  2.68695  0.43768  12729628.70619  44.88865  18.04001  60056.29316    51.43789       44.40691   74.20376  79.15068   83.0    0.07503  -22.03612  0.99141 
  -17.48147  0.00914  1.52954     13.08171  1.81399  1.45172   7.66336  0.30944     0.01143  7431.15055    4741.5286  0.44609         3342.36015     20.35665  0.12629   59951.8226   2.5244  0.07002  27048676.17074  44.72621  18.05201  60056.29316    51.54611       44.54556   63.58428  74.92941   82.5    0.06861  -22.15839  0.99901 
  -13.47571  0.00206    2.028      13.4897  1.88301  0.55824  11.70047  0.13939     0.01199  7480.80253   5233.11639  1.33878         2970.47889     18.75164  0.00314  59955.82837  3.90595  0.02405   7540747.47269  45.05215  18.06416  60055.31023    51.48524       44.48757    71.7303  74.20376   85.0    0.07327   -22.0211  0.99944 
   -16.8772  0.06223    1.528     13.26183  1.45584  0.66715   9.23629    0.296     0.01034  6900.61765   5541.39161  3.84091         2473.14928     19.03316    0.006  59952.42687  2.62362  0.57481   9451729.14285   45.0882  18.05571   60053.2066    51.41656        44.3881   73.80463  79.15068   84.0    0.06805  -22.03121  0.98928 
  -15.54198  0.39337  1.42212     12.97781  1.57544  0.99784   7.71487  0.25319     0.01032  7018.73064   4741.07522  1.00601         3175.01274     18.59941  0.00221  59953.76209  2.26711  3.03478  32770343.00859  44.64489  18.05043  60054.52212    51.53937       44.53838   64.27678  74.23691   89.0    0.07044  -22.00991  0.95191 
