          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 60165.503807  18.9084  19.0723    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
  60168.49383  19.3876  19.5515  0.1661        P48         ZTF       r  False      AB   False                  ZTF 
 60168.496261  19.4634  19.6273   0.195        P48         ZTF       r  False      AB   False                  ZTF 
 60168.498692  19.3565  19.5204  0.1615        P48         ZTF       r  False      AB   False                  ZTF 
 60168.501122  19.6396  19.8035  0.2459        P48         ZTF       r  False      AB   False                  ZTF 
 60168.503553  19.2944  19.4583  0.2483        P48         ZTF       r  False      AB   False                  ZTF 
 60169.496168  19.5612  19.7251  0.1906        P48         ZTF       r  False      AB   False                  ZTF 
 60169.496168  19.5612  19.7251  0.1906        P48         ZTF       r  False      AB   False                  ZTF 
 60169.498611  19.5406  19.7045  0.2116        P48         ZTF       r  False      AB   False                  ZTF 
 60169.498611  19.5406  19.7045  0.2116        P48         ZTF       r  False      AB   False                  ZTF 
 60169.501041  19.7238  19.8877  0.2704        P48         ZTF       r  False      AB   False                  ZTF 
 60169.503472  19.1458  19.3097    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
 60169.505902  18.8965  19.0604    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
 60170.496932  19.5343  19.6982  0.2561        P48         ZTF       r  False      AB   False                  ZTF 
 60170.499305  19.2296  19.3934   0.145        P48         ZTF       r  False      AB   False                  ZTF 
 60170.499305  19.2296  19.3935   0.145        P48         ZTF       r  False      AB   False                  ZTF 
 60170.501678  19.3082  19.4721  0.2029        P48         ZTF       r  False      AB   False                  ZTF 
 60170.504039  19.4314  19.5953  0.2086        P48         ZTF       r  False      AB   False                  ZTF 
 60170.506411   19.274  19.4379    0.23        P48         ZTF       r  False      AB   False                  ZTF 
 60171.497245  19.5219  19.6857  0.1619        P48         ZTF       r  False      AB   False                  ZTF 
 60171.499166  19.6244  19.7883  0.2299        P48         ZTF       r  False      AB   False                  ZTF 
 60171.501562   19.618  19.7819  0.2195        P48         ZTF       r  False      AB   False                  ZTF 
 60173.498287  19.6724  19.8362  0.1911        P48         ZTF       r  False      AB   False                  ZTF 
 60173.500682  19.6233  19.7872  0.2078        P48         ZTF       r  False      AB   False                  ZTF 
 60173.503078  19.6694  19.8333  0.2706        P48         ZTF       r  False      AB   False                  ZTF 
 60173.505486  19.6827  19.8466  0.2578        P48         ZTF       r  False      AB   False                  ZTF 
 60173.507881   19.727  19.8909  0.2687        P48         ZTF       r  False      AB   False                  ZTF 
 60174.498622   18.696  18.8599    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
 60174.501018  19.5553  19.7192     0.2        P48         ZTF       r  False      AB   False                  ZTF 
 60174.503425  17.8478  18.0117    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
 60174.505821  19.6392  19.8031  0.2327        P48         ZTF       r  False      AB   False                  ZTF 
 60174.508217  19.7568  19.9207  0.3076        P48         ZTF       r  False      AB   False                  ZTF 
 60181.490069  19.7375  19.9014   0.204        P48         ZTF       r  False      AB   False                  ZTF 
 60181.492523  20.0735  20.2374  0.3048        P48         ZTF       r  False      AB   False                  ZTF 
 60181.494965  19.8194  19.9833  0.2489        P48         ZTF       r  False      AB   False                  ZTF 
 60181.497419  20.1904  20.3543  0.3497        P48         ZTF       r  False      AB   False                  ZTF 
 60181.499861  19.8291   19.993  0.2732        P48         ZTF       r  False      AB   False                  ZTF 
  60182.49177  19.9869  20.1507  0.2131        P48         ZTF       r  False      AB   False                  ZTF 
 60182.496747  19.9458  20.1097  0.2158        P48         ZTF       r  False      AB   False                  ZTF 
 60182.501724  20.0039  20.1677  0.2096        P48         ZTF       r  False      AB   False                  ZTF 
 60194.601827  18.8665  19.0197    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60196.615367  19.4287  19.5819    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60198.608844  20.0886   20.298    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60200.619971  20.4209  20.6302    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60201.546892  20.2337   20.443    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60205.609156  20.2479  20.4572    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60212.551642  20.1904  20.3997    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60213.615549  20.0673  20.2205  0.3369      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60214.615285  19.9093  20.0625    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60215.574919  19.1407  19.2939    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60218.575718  18.8954  19.0486    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60221.571104  19.5878   19.741    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60224.582008  19.9579  20.1111  0.3277      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60227.591665  19.3077  19.4609    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60228.550753  19.6966  19.9059    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 60230.542722  19.6395  19.8488    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
  60234.60279  20.3434  20.5528    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60236.559096  20.0164  20.2257    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60241.560031  20.1147   20.324    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60242.541828  19.7776  19.9308    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
  60244.53631  19.2531  19.4063    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60245.524965  18.8116  18.9648    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60246.499308  19.0059  19.1591    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60247.491545  19.0672  19.2204    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60252.508856  19.9915  20.1447    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
