       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 60041.313  18.083  18.073  18.061  5182.42     3631.0    cyan 
 60041.313  18.106   18.09  18.077  4746.48     3631.0       g 
 60041.313  18.111  18.096  18.083  6366.38     3631.0       r 
 60041.313  18.137   18.12  18.106  6629.82     3631.0  orange 
 60042.323  18.079   18.07  18.058  5182.42     3631.0    cyan 
 60042.323  18.105  18.088  18.075  4746.48     3631.0       g 
 60042.323  18.105   18.09  18.077  6366.38     3631.0       r 
 60042.323   18.13  18.113  18.099  6629.82     3631.0  orange 
 60043.194  18.076  18.067  18.056  5182.42     3631.0    cyan 
 60043.194    18.1  18.085  18.072  6366.38     3631.0       r 
 60043.194  18.104  18.087  18.073  4746.48     3631.0       g 
 60043.194  18.124  18.108  18.094  6629.82     3631.0  orange 
 60043.317  18.076  18.067  18.056  5182.42     3631.0    cyan 
 60043.317  18.099  18.084  18.071  6366.38     3631.0       r 
 60043.317  18.104  18.087  18.073  4746.48     3631.0       g 
 60043.317  18.123  18.107  18.093  6629.82     3631.0  orange 
 60044.334  18.074  18.064  18.053  5182.42     3631.0    cyan 
 60044.334  18.094   18.08  18.066  6366.38     3631.0       r 
 60044.334  18.104  18.087  18.073  4746.48     3631.0       g 
 60044.334  18.118  18.102  18.086  6629.82     3631.0  orange 
  60045.16  18.073  18.062  18.051  5182.42     3631.0    cyan 
  60045.16   18.09  18.076  18.062  6366.38     3631.0       r 
  60045.16  18.104  18.087  18.072  4746.48     3631.0       g 
  60045.16  18.113  18.097  18.082  6629.82     3631.0  orange 
 60045.226  18.073  18.062  18.051  5182.42     3631.0    cyan 
 60045.226  18.089  18.076  18.061  6366.38     3631.0       r 
 60045.226  18.104  18.087  18.072  4746.48     3631.0       g 
 60045.226  18.113  18.097  18.081  6629.82     3631.0  orange 
 60045.292  18.073  18.062  18.051  5182.42     3631.0    cyan 
 60045.292  18.089  18.075  18.061  6366.38     3631.0       r 
 60045.292  18.104  18.087  18.072  4746.48     3631.0       g 
 60045.292  18.112  18.097  18.081  6629.82     3631.0  orange 
 60045.373  18.072  18.062  18.051  5182.42     3631.0    cyan 
 60045.373  18.089  18.075  18.061  6366.38     3631.0       r 
 60045.373  18.104  18.087  18.072  4746.48     3631.0       g 
